"School Name","School ID","Network","Grade","Year","Number of
Students","Value-Added
Score","95% Confidence
Interval Range","Percentile","Color Reading","Number of
Students","Value-Added
Score","95% Confidence
Interval Range","Percentile","Color Math"
"CHASE",609853,"Fullerton",8,2011,48,-0.5,"-1.6 to 0.7",36,"yellow",48,-0.5,"-1.2 to 0.3",34,"yellow"
"CHASE",609853,"Fullerton","All Grades",2011,190.7,0.1,"-0.8 to 0.9",53,"yellow",190.7,-0.6,"-1.1 to 0",28,"yellow"
"CHASE",609853,"Fullerton",4,2010,22.6,-0.4,"-1.5 to 0.8",30,"yellow",22.6,0.3,"-0.6 to 1.2",63,"yellow"
"CHASE",609853,"Fullerton",5,2010,35.2,0.2,"-0.9 to 1.4",58,"yellow",35.2,2.2,"1.4 to 2.9",97,"green"
"CHASE",609853,"Fullerton",6,2010,43,0.1,"-1 to 1.1",53,"yellow",43,-0.3,"-1 to 0.5",41,"yellow"
"CHASE",609853,"Fullerton",7,2010,45.2,-0.1,"-1.2 to 1.1",51,"yellow",45.2,0.1,"-0.6 to 0.9",57,"yellow"
"CHASE",609853,"Fullerton",8,2010,38,0.4,"-0.9 to 1.7",67,"yellow",38,-1.3,"-2.1 to -0.4",8,"red"
"CHASE",609853,"Fullerton","All Grades",2010,184,0.1,"-0.7 to 1",55,"yellow",184,0.3,"-0.4 to 0.9",61,"yellow"
"CHAVEZ",610148,"Pershing Elementary Network",4,2012,25.5,2.8,"1.8 to 3.8",99,"Green",25.5,1.9,"1.1 to 2.8",96,"Green"
"CHAVEZ",610148,"Pershing Elementary Network",5,2012,48.0,-2.4,"-3.5 to -1.4",1,"Red",48.0,0.8,"0.1 to 1.6",80,"Green"
"CHAVEZ",610148,"Pershing Elementary Network",6,2012,49.6,0.1,"-0.9 to 1.2",58,"Yellow",49.6,2.1,"1.5 to 2.7",97,"Green"
"CHAVEZ",610148,"Pershing Elementary Network",7,2012,68.0,0.3,"-0.7 to 1.3",63,"Yellow",68.0,1.8,"1.3 to 2.3",94,"Green"
"CHAVEZ",610148,"Pershing Elementary Network",8,2012,65.9,2.4,"1.3 to 3.4",98,"Green",66.9,1.8,"1.2 to 2.4",96,"Green"
"CHAVEZ",610148,"Pershing Elementary Network","All Grades",2012,256.9,0.9,"0 to 1.7",82,"Green",258.0,2.8,"2.4 to 3.3",99,"Green"
"CHAVEZ",610148,"Pershing",4,2011,19,1.7,"0.6 to 2.9",97,"green",19,2.7,"1.7 to 3.7",98,"green"
"CHAVEZ",610148,"Pershing",5,2011,48.5,-3.1,"-4.1 to -2",1,"red",48.5,0.6,"-0.2 to 1.3",73,"yellow"
"CHAVEZ",610148,"Pershing",6,2011,50.9,0.1,"-0.9 to 1",53,"yellow",50.9,1.8,"1.1 to 2.4",95,"green"
"CHAVEZ",610148,"Pershing",7,2011,70.9,0.5,"-0.4 to 1.4",71,"yellow",70.9,0.8,"0.3 to 1.4",81,"green"
"CHAVEZ",610148,"Pershing",8,2011,58.6,1.1,"0 to 2.2",89,"yellow",57.8,1,"0.3 to 1.7",84,"green"
"CHAVEZ",610148,"Pershing","All Grades",2011,247.8,0,"-0.8 to 0.8",51,"yellow",247,2,"1.5 to 2.6",97,"green"
"CHAVEZ",610148,"Pershing",4,2010,25.5,1.1,"0 to 2.2",90,"green",25.5,0.9,"0 to 1.7",83,"green"
"CHAVEZ",610148,"Pershing",5,2010,43.9,1.1,"0.1 to 2.2",88,"green",43.9,0,"-0.7 to 0.7",51,"yellow"
"CHAVEZ",610148,"Pershing",6,2010,50.3,0.3,"-0.7 to 1.3",64,"yellow",50.3,0.5,"-0.1 to 1.2",72,"yellow"
"CHAVEZ",610148,"Pershing",7,2010,54.9,0.8,"-0.3 to 1.8",78,"yellow",54.9,1.2,"0.5 to 1.9",89,"green"
"CHAVEZ",610148,"Pershing",8,2010,71.9,0.1,"-1 to 1.1",55,"yellow",71.9,0.6,"-0.2 to 1.3",75,"yellow"
"CHAVEZ",610148,"Pershing","All Grades",2010,246.6,1,"0.2 to 1.8",86,"green",246.6,1,"0.5 to 1.6",88,"green"
"CHGO ACAD ES",610248,"AUSL Schools",4,2012,37.0,-0.3,"-1.2 to 0.6",34,"Yellow",37.0,-1.1,"-1.9 to -0.4",12,"Red"
"CHGO ACAD ES",610248,"AUSL Schools",5,2012,45.0,-0.1,"-1.2 to 0.9",43,"Yellow",45.0,-0.8,"-1.5 to 0",20,"Yellow"
"CHGO ACAD ES",610248,"AUSL Schools",6,2012,55.0,0.0,"-1 to 1",53,"Yellow",54.0,-0.3,"-0.9 to 0.3",41,"Yellow"
"CHGO ACAD ES",610248,"AUSL Schools",7,2012,58.0,-0.6,"-1.7 to 0.4",27,"Yellow",58.0,-0.1,"-0.7 to 0.4",48,"Yellow"
"CHGO ACAD ES",610248,"AUSL Schools",8,2012,58.0,0.0,"-1.1 to 1.1",54,"Yellow",58.0,0.1,"-0.6 to 0.8",57,"Yellow"
"CHGO ACAD ES",610248,"AUSL Schools","All Grades",2012,253.0,-0.4,"-1.2 to 0.5",31,"Yellow",252.0,-0.6,"-1.1 to -0.1",24,"Red"
"CHGO ACAD ES",610248,"O'Hare",4,2011,45,0.2,"-0.7 to 1",52,"yellow",45,0.2,"-0.4 to 0.9",61,"yellow"
"CHGO ACAD ES",610248,"O'Hare",5,2011,52,1.4,"0.4 to 2.4",92,"green",52,-0.8,"-1.5 to -0.1",22,"red"
"CHGO ACAD ES",610248,"O'Hare",6,2011,57,1.4,"0.5 to 2.4",94,"green",57,-0.4,"-0.9 to 0.2",36,"yellow"
"CHGO ACAD ES",610248,"O'Hare",7,2011,58,0.7,"-0.2 to 1.7",80,"yellow",58,0.7,"0.1 to 1.3",77,"green"
"CHGO ACAD ES",610248,"O'Hare",8,2011,59,1.4,"0.3 to 2.5",93,"green",59,-0.2,"-0.9 to 0.5",44,"yellow"
"CHGO ACAD ES",610248,"O'Hare","All Grades",2011,271,1.8,"1 to 2.5",96,"green",271,-0.1,"-0.6 to 0.4",48,"yellow"
"CHGO ACAD ES",610248,"O'Hare",4,2010,50,-1.5,"-2.3 to -0.6",7,"red",51,-1.2,"-1.9 to -0.6",10,"red"
"CHGO ACAD ES",610248,"O'Hare",5,2010,50.9,0.8,"-0.2 to 1.8",79,"yellow",50.9,0.7,"0 to 1.3",76,"green"
"CHGO ACAD ES",610248,"O'Hare",6,2010,50,-0.8,"-1.8 to 0.2",19,"yellow",50,-0.9,"-1.6 to -0.2",18,"red"
"CHGO ACAD ES",610248,"O'Hare",7,2010,58,-0.3,"-1.3 to 0.7",39,"yellow",58,0.7,"0.1 to 1.4",78,"green"
"CHGO ACAD ES",610248,"O'Hare",8,2010,56,-1.2,"-2.3 to 0",11,"red",56,-1,"-1.7 to -0.2",16,"red"
"CHGO ACAD ES",610248,"O'Hare","All Grades",2010,264.9,-0.9,"-1.6 to -0.2",13,"red",265.9,-0.6,"-1.1 to 0",27,"red"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"Charter/Contract Schools",6,2012,53.7,0.0,"-1.1 to 1",49,"Yellow",53.8,-0.1,"-0.7 to 0.5",51,"Yellow"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"Charter/Contract Schools",7,2012,77.9,0.3,"-0.7 to 1.2",61,"Yellow",77.9,0.6,"0.1 to 1",74,"Green"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"Charter/Contract Schools",8,2012,65.4,0.4,"-0.6 to 1.5",72,"Yellow",65.4,-0.6,"-1.2 to 0.1",27,"Yellow"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"Charter/Contract Schools","All Grades",2012,197.0,0.4,"-0.6 to 1.3",64,"Yellow",197.1,0.0,"-0.5 to 0.6",54,"Yellow"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"North-Northwest Side HS Network",6,2011,56.8,-1,"-2 to -0.1",12,"red",56.8,1.6,"1 to 2.2",93,"green"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"North-Northwest Side HS Network",7,2011,63.4,0.3,"-0.6 to 1.2",63,"yellow",63.4,2.1,"1.5 to 2.6",97,"green"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"North-Northwest Side HS Network",8,2011,77.6,-0.7,"-1.7 to 0.4",30,"yellow",77.6,1.1,"0.5 to 1.7",87,"green"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"North-Northwest Side HS Network","All Grades",2011,197.9,-0.7,"-1.5 to 0.2",22,"yellow",197.9,2.7,"2.1 to 3.3",98,"green"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"North-Northwest Side HS Network",6,2010,43,-1.1,"-2.2 to -0.1",9,"red",43,0.1,"-0.7 to 0.8",55,"yellow"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"North-Northwest Side HS Network",7,2010,65.6,-0.7,"-1.7 to 0.3",23,"yellow",65.6,0.4,"-0.3 to 1",64,"yellow"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"North-Northwest Side HS Network",8,2010,64.8,-0.3,"-1.4 to 0.8",40,"yellow",64.8,-0.7,"-1.5 to 0",22,"red"
"CHGO MATH & SCI ACAD CAMPUS HS",400035,"North-Northwest Side HS Network","All Grades",2010,173.5,-1,"-1.9 to -0.1",12,"red",173.5,-0.2,"-0.9 to 0.4",42,"yellow"
"CHICAGO QUEST NORTH",400113,"Charter/Contract Schools",6,2012,82.7,-2.6,"-3.5 to -1.7",0,"Red",82.7,-1.8,"-2.3 to -1.3",1,"Red"
"CHICAGO QUEST NORTH",400113,"Charter/Contract Schools",7,2012,80.1,-2.1,"-3.1 to -1.1",2,"Red",80.1,-2.8,"-3.3 to -2.3",0,"Red"
"CHICAGO QUEST NORTH",400113,"Charter/Contract Schools","All Grades",2012,162.8,-3.5,"-4.6 to -2.5",0,"Red",162.8,-3.8,"-4.4 to -3.2",0,"Red"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"Charter/Contract Schools",4,2012,37.9,-0.8,"-1.7 to 0.1",19,"Yellow",37.9,-2.2,"-3 to -1.5",1,"Red"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"Charter/Contract Schools",5,2012,38.6,-1.0,"-2.1 to 0.1",13,"Yellow",38.6,0.3,"-0.5 to 1.2",64,"Yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"Charter/Contract Schools",6,2012,45.9,0.7,"-0.4 to 1.8",79,"Yellow",45.9,0.8,"0.2 to 1.5",79,"Green"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"Charter/Contract Schools",7,2012,46.3,1.4,"0.3 to 2.6",91,"Green",46.3,-0.1,"-0.7 to 0.6",50,"Yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"Charter/Contract Schools",8,2012,39.2,0.1,"-1.1 to 1.3",58,"Yellow",39.2,-0.3,"-1.1 to 0.5",39,"Yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"Charter/Contract Schools","All Grades",2012,207.8,0.3,"-0.5 to 1.2",64,"Yellow",207.8,-0.4,"-0.9 to 0.2",33,"Yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",4,2011,39.7,-0.2,"-1.1 to 0.7",37,"yellow",39.7,-0.8,"-1.5 to 0",22,"red"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",5,2011,34.7,-0.4,"-1.5 to 0.8",33,"yellow",34.7,1.1,"0.2 to 1.9",85,"green"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",6,2011,45.3,-0.3,"-1.3 to 0.7",39,"yellow",45.3,0.7,"0.1 to 1.4",77,"green"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",7,2011,44.1,-0.3,"-1.4 to 0.7",36,"yellow",44.1,0,"-0.7 to 0.7",52,"yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",8,2011,42,0.9,"-0.4 to 2.1",84,"yellow",42,-0.3,"-1.1 to 0.5",40,"yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network","All Grades",2011,205.7,-0.2,"-1 to 0.7",43,"yellow",205.7,0.3,"-0.3 to 0.8",61,"yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",4,2010,28.8,0.7,"-0.4 to 1.7",80,"yellow",28.8,0.1,"-0.7 to 0.9",54,"yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",5,2010,46.1,-0.4,"-1.4 to 0.6",32,"yellow",46.1,-0.3,"-1 to 0.4",41,"yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",6,2010,39.2,-0.5,"-1.6 to 0.6",30,"yellow",39.2,0.5,"-0.3 to 1.3",71,"yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",7,2010,40.5,-0.4,"-1.6 to 0.7",35,"yellow",40.5,-0.7,"-1.5 to 0.1",26,"yellow"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network",8,2010,48.3,-1.3,"-2.5 to -0.1",10,"red",48.3,-1.6,"-2.5 to -0.8",2,"red"
"CHICAGO VIRTUAL CHTR CAMPUS HS",400036,"West Side HS Network","All Grades",2010,202.8,-0.8,"-1.6 to 0",17,"yellow",202.8,-0.8,"-1.4 to -0.2",19,"red"
"CHOPIN",609854,"Fulton Elementary Network",4,2012,20.4,1.3,"0.2 to 2.4",92,"Green",20.4,-0.2,"-1.2 to 0.7",40,"Yellow"
"CHOPIN",609854,"Fulton Elementary Network",5,2012,19.0,0.7,"-0.7 to 2",78,"Yellow",19.0,0.6,"-0.5 to 1.7",75,"Yellow"
"CHOPIN",609854,"Fulton Elementary Network",6,2012,24.4,0.7,"-0.6 to 2",79,"Yellow",24.4,0.9,"0.1 to 1.7",81,"Green"
"CHOPIN",609854,"Fulton Elementary Network",7,2012,27.5,1.1,"-0.3 to 2.4",84,"Yellow",27.5,2.7,"1.9 to 3.5",98,"Green"
"CHOPIN",609854,"Fulton Elementary Network",8,2012,17.0,-1.0,"-2.5 to 0.5",14,"Yellow",17.0,-3.3,"-4.3 to -2.2",0,"Red"
"CHOPIN",609854,"Fulton Elementary Network","All Grades",2012,108.4,1.2,"0 to 2.3",90,"Green",108.4,0.8,"0 to 1.5",82,"Green"
"CHOPIN",609854,"Fulton",4,2011,14,-1.1,"-2.3 to 0.2",12,"yellow",14,-1.2,"-2.2 to -0.2",9,"red"
"CHOPIN",609854,"Fulton",5,2011,24.4,3,"1.7 to 4.2",99,"green",24.4,2.9,"1.9 to 3.9",99,"green"
"CHOPIN",609854,"Fulton",6,2011,27.7,2.5,"1.3 to 3.7",99,"green",27.7,0.1,"-0.7 to 0.9",55,"yellow"
"CHOPIN",609854,"Fulton",7,2011,19,4.1,"2.8 to 5.5",99,"green",19,5.8,"4.9 to 6.8",99,"green"
"CHOPIN",609854,"Fulton",8,2011,30,3.4,"2.1 to 4.8",99,"green",30,0.6,"-0.3 to 1.5",75,"yellow"
"CHOPIN",609854,"Fulton","All Grades",2011,115.2,4.9,"3.9 to 5.9",99,"green",115.2,3.1,"2.4 to 3.8",99,"green"
"CHOPIN",609854,"Fulton",4,2010,21.1,0,"-1.2 to 1.1",49,"yellow",21.1,0.5,"-0.4 to 1.4",74,"yellow"
"CHOPIN",609854,"Fulton",5,2010,24.3,0.1,"-1.2 to 1.3",54,"yellow",24.3,1.5,"0.6 to 2.4",93,"green"
"CHOPIN",609854,"Fulton",6,2010,14,1.5,"0.1 to 3",95,"green",14,2.1,"1 to 3.2",97,"green"
"CHOPIN",609854,"Fulton",7,2010,34.3,2.3,"1 to 3.5",98,"green",34.3,5.7,"4.8 to 6.5",99,"green"
"CHOPIN",609854,"Fulton",8,2010,36,6.3,"5 to 7.6",99,"green",36,2.2,"1.3 to 3.2",97,"green"
"CHOPIN",609854,"Fulton","All Grades",2010,129.7,4.2,"3.2 to 5.2",99,"green",129.7,4.6,"3.9 to 5.4",99,"green"
"CHRISTOPHER",609855,"Midway Elementary Network",4,2012,10.0,0.7,"-0.6 to 2.1",78,"Yellow",10.0,0.9,"-0.2 to 2.1",83,"Yellow"
"CHRISTOPHER",609855,"Midway Elementary Network",5,2012,11.4,1.1,"-0.5 to 2.6",87,"Yellow",11.4,1.1,"-0.2 to 2.4",86,"Yellow"
"CHRISTOPHER",609855,"Midway Elementary Network",6,2012,11.6,1.6,"0.1 to 3.2",95,"Green",11.6,-0.2,"-1.3 to 0.9",46,"Yellow"
"CHRISTOPHER",609855,"Midway Elementary Network",8,2012,16.6,-0.7,"-2.2 to 0.8",25,"Yellow",17.6,-0.7,"-1.7 to 0.4",21,"Yellow"
"CHRISTOPHER",609855,"Midway Elementary Network","All Grades",2012,58.6,0.8,"-0.5 to 2.1",79,"Yellow",58.6,0.2,"-0.7 to 1.1",60,"Yellow"
"CHRISTOPHER",609855,"Midway",6,2011,11.7,0.9,"-0.6 to 2.4",83,"yellow",11.7,1.3,"0.2 to 2.4",90,"green"
"CHRISTOPHER",609855,"Midway",7,2011,18,0.1,"-1.3 to 1.4",53,"yellow",19,-0.2,"-1.1 to 0.8",45,"yellow"
"CHRISTOPHER",609855,"Midway",8,2011,12,-0.2,"-1.8 to 1.4",42,"yellow",12,0,"-1.2 to 1.3",53,"yellow"
"CHRISTOPHER",609855,"Midway","All Grades",2011,54,0.7,"-0.7 to 2",77,"yellow",56,0.7,"-0.3 to 1.6",76,"yellow"
"CHRISTOPHER",609855,"Midway",6,2010,14,0.3,"-1.1 to 1.8",65,"yellow",14,1.2,"0 to 2.3",87,"green"
"CHRISTOPHER",609855,"Midway",7,2010,11,0.5,"-1.1 to 2.1",71,"yellow",,,,,
"CHRISTOPHER",609855,"Midway",8,2010,13,-0.8,"-2.4 to 0.8",18,"yellow",13,0.2,"-1.1 to 1.4",60,"yellow"
"CHRISTOPHER",609855,"Midway","All Grades",2010,50,0.4,"-0.9 to 1.8",67,"yellow",49,0.7,"-0.4 to 1.7",76,"yellow"
"CICS - HAWKINS",400108,"Charter/Contract Schools",7,2012,57.6,-0.1,"-1.2 to 1",48,"Yellow",57.6,-0.8,"-1.4 to -0.2",22,"Red"
"CICS - HAWKINS",400108,"Charter/Contract Schools",8,2012,69.2,0.4,"-0.7 to 1.4",71,"Yellow",69.2,-0.5,"-1.1 to 0.1",31,"Yellow"
"CICS - HAWKINS",400108,"Charter/Contract Schools","All Grades",2012,126.8,0.2,"-0.9 to 1.3",58,"Yellow",126.8,-1.0,"-1.7 to -0.3",14,"Red"
"CICS - HAWKINS",400108,"Lake Calumet",7,2011,70.1,-1.5,"-2.4 to -0.6",6,"red",70.1,-0.8,"-1.4 to -0.3",19,"red"
"CICS - HAWKINS",400108,"Lake Calumet",8,2011,56.5,-1.6,"-2.8 to -0.5",2,"red",56.5,-1.6,"-2.3 to -0.9",4,"red"
"CICS - HAWKINS",400108,"Lake Calumet","All Grades",2011,126.6,-2.2,"-3.3 to -1.1",1,"red",126.6,-1.8,"-2.6 to -1.1",2,"red"
"CICS - LLOYD BOND",400092,"Charter/Contract Schools",4,2012,45.2,-0.5,"-1.4 to 0.3",27,"Yellow",45.2,0.2,"-0.5 to 0.9",59,"Yellow"
"CICS - LLOYD BOND",400092,"Charter/Contract Schools",5,2012,48.9,1.7,"0.7 to 2.8",95,"Green",47.9,-0.6,"-1.4 to 0.2",26,"Yellow"
"CICS - LLOYD BOND",400092,"Charter/Contract Schools",6,2012,51.4,0.1,"-0.9 to 1.2",59,"Yellow",51.4,1.2,"0.6 to 1.8",87,"Green"
"CICS - LLOYD BOND",400092,"Charter/Contract Schools","All Grades",2012,145.5,0.8,"-0.2 to 1.7",78,"Yellow",144.5,0.5,"-0.1 to 1.1",72,"Yellow"
"CICS - LLOYD BOND",400092,"Lake Calumet",4,2011,45.8,-1.4,"-2.2 to -0.5",8,"red",45.8,0.4,"-0.3 to 1.1",68,"yellow"
"CICS - LLOYD BOND",400092,"Lake Calumet",5,2011,46.7,-1,"-2.1 to 0",10,"yellow",46.7,-0.9,"-1.7 to -0.1",17,"red"
"CICS - LLOYD BOND",400092,"Lake Calumet",6,2011,42.6,1.5,"0.4 to 2.5",94,"green",42.6,0.6,"-0.1 to 1.2",74,"yellow"
"CICS - LLOYD BOND",400092,"Lake Calumet","All Grades",2011,135.1,-0.4,"-1.3 to 0.5",34,"yellow",135.1,0.1,"-0.6 to 0.8",54,"yellow"
"CICS - LLOYD BOND",400092,"Lake Calumet",4,2010,25,-0.8,"-1.9 to 0.3",18,"yellow",25,0.5,"-0.4 to 1.3",72,"yellow"
"CICS - LLOYD BOND",400092,"Lake Calumet",5,2010,10.9,-0.9,"-2.5 to 0.6",14,"yellow",10.9,0,"-1.2 to 1.2",53,"yellow"
"CICS - LLOYD BOND",400092,"Lake Calumet",6,2010,14.2,-0.1,"-1.6 to 1.3",45,"yellow",14.2,-0.4,"-1.5 to 0.8",37,"yellow"
"CICS - LLOYD BOND",400092,"Lake Calumet",7,2010,14.9,-0.2,"-1.7 to 1.3",42,"yellow",14.9,0.3,"-0.9 to 1.4",60,"yellow"
"CICS - LLOYD BOND",400092,"Lake Calumet","All Grades",2010,73.9,-1.3,"-2.5 to -0.1",8,"red",73.9,0,"-0.9 to 0.9",49,"yellow"
"CICS-AVALON /SO SHORE",400023,"Charter/Contract Schools","All Grades",2012,243.2,-0.9,"-1.7 to -0.1",16,"Red",243.0,-0.1,"-0.6 to 0.4",48,"Yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",4,2011,55.7,0,"-0.8 to 0.8",46,"yellow",55.7,0.2,"-0.4 to 0.8",59,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",5,2011,52.4,0.7,"-0.3 to 1.7",77,"yellow",52.4,-0.4,"-1.1 to 0.4",36,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",6,2011,51.6,0.1,"-0.9 to 1",53,"yellow",51.6,0.5,"-0.1 to 1.1",71,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",7,2011,48,-1.5,"-2.5 to -0.5",6,"red",48,0.6,"-0.1 to 1.2",73,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",8,2011,42.8,0,"-1.2 to 1.2",48,"yellow",42.8,-0.6,"-1.4 to 0.2",32,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway","All Grades",2011,250.6,-0.3,"-1.1 to 0.4",36,"yellow",250.5,0.2,"-0.3 to 0.8",60,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",4,2010,48.9,-0.2,"-1 to 0.7",41,"yellow",48.9,-0.2,"-0.8 to 0.5",42,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",5,2010,50,0.5,"-0.5 to 1.5",68,"yellow",50,-0.4,"-1.1 to 0.2",33,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",6,2010,50.2,1,"0 to 2",84,"yellow",50.2,0.1,"-0.6 to 0.8",55,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",7,2010,41.3,0.8,"-0.3 to 2",79,"yellow",41.3,-0.2,"-1 to 0.6",45,"yellow"
"CICS-AVALON /SO SHORE",400023,"Skyway",8,2010,38.7,0.4,"-0.9 to 1.7",66,"yellow",38.7,-2,"-2.9 to -1.1",1,"red"
"CICS-AVALON /SO SHORE",400023,"Skyway","All Grades",2010,229.1,0.9,"0.1 to 1.6",81,"green",229.1,-0.9,"-1.4 to -0.3",17,"red"
"CICS-AVALON /SO SHORE ",400023,"Charter/Contract Schools",4,2012,46.7,-0.1,"-0.9 to 0.7",41,"Yellow",46.7,0.2,"-0.5 to 0.8",57,"Yellow"
"CICS-AVALON /SO SHORE ",400023,"Charter/Contract Schools",5,2012,51.5,-0.4,"-1.4 to 0.7",33,"Yellow",51.5,-0.4,"-1.1 to 0.4",36,"Yellow"
"CICS-AVALON /SO SHORE ",400023,"Charter/Contract Schools",6,2012,50.5,-0.1,"-1.2 to 0.9",44,"Yellow",50.5,0.5,"-0.1 to 1.1",70,"Yellow"
"CICS-AVALON /SO SHORE ",400023,"Charter/Contract Schools",7,2012,46.8,-1.0,"-2.1 to 0.1",13,"Yellow",46.7,0.6,"-0.1 to 1.2",73,"Yellow"
"CICS-AVALON /SO SHORE ",400023,"Charter/Contract Schools",8,2012,47.6,-1.0,"-2.2 to 0.2",17,"Yellow",47.6,-1.3,"-2 to -0.6",6,"Red"
"CICS-BASIL",400024,"Charter/Contract Schools","All Grades",2012,347.9,0.0,"-0.7 to 0.8",53,"Yellow",347.9,0.7,"0.3 to 1.1",80,"Green"
"CICS-BASIL",400024,"Pershing",4,2011,72.8,0.5,"-0.3 to 1.2",66,"yellow",72.8,1.3,"0.8 to 1.8",91,"green"
"CICS-BASIL",400024,"Pershing",5,2011,78.9,-0.5,"-1.3 to 0.4",29,"yellow",78.9,0.3,"-0.3 to 0.9",66,"yellow"
"CICS-BASIL",400024,"Pershing",6,2011,76.7,-0.9,"-1.7 to 0",19,"red",76.7,-1.2,"-1.7 to -0.7",10,"red"
"CICS-BASIL",400024,"Pershing",7,2011,70.6,0.5,"-0.4 to 1.3",69,"yellow",70.6,0.4,"-0.2 to 0.9",65,"yellow"
"CICS-BASIL",400024,"Pershing",8,2011,48.8,0,"-1.2 to 1.1",50,"yellow",48.8,-0.6,"-1.3 to 0.2",32,"yellow"
"CICS-BASIL",400024,"Pershing","All Grades",2011,347.8,-0.2,"-0.8 to 0.5",44,"yellow",347.8,0.1,"-0.4 to 0.5",53,"yellow"
"CICS-BASIL",400024,"Pershing",4,2010,74.6,0.2,"-0.6 to 0.9",57,"yellow",74.6,-0.1,"-0.7 to 0.4",44,"yellow"
"CICS-BASIL",400024,"Pershing",5,2010,72.8,0.1,"-0.8 to 1",53,"yellow",72.8,1.4,"0.9 to 2",92,"green"
"CICS-BASIL",400024,"Pershing",6,2010,72.1,-1.6,"-2.5 to -0.7",5,"red",72.1,-0.9,"-1.5 to -0.3",16,"red"
"CICS-BASIL",400024,"Pershing",7,2010,55.9,0,"-1 to 1.1",55,"yellow",55.9,0,"-0.7 to 0.7",50,"yellow"
"CICS-BASIL",400024,"Pershing",8,2010,48.2,-0.4,"-1.6 to 0.8",29,"yellow",48.1,0.7,"-0.2 to 1.5",77,"yellow"
"CICS-BASIL",400024,"Pershing","All Grades",2010,323.6,-0.5,"-1.2 to 0.1",28,"yellow",323.6,0.3,"-0.1 to 0.8",64,"yellow"
"CICS-BASIL ",400024,"Charter/Contract Schools",4,2012,79.8,1.0,"0.3 to 1.7",85,"Green",79.8,0.6,"0.1 to 1.1",76,"Green"
"CICS-BASIL ",400024,"Charter/Contract Schools",5,2012,70.8,0.1,"-0.8 to 1",53,"Yellow",70.8,-0.2,"-0.9 to 0.5",42,"Yellow"
"CICS-BASIL ",400024,"Charter/Contract Schools",6,2012,68.1,-0.1,"-1 to 0.9",48,"Yellow",68.1,0.6,"0.1 to 1.2",73,"Green"
"CICS-BASIL ",400024,"Charter/Contract Schools",7,2012,64.2,-0.1,"-1.1 to 0.9",47,"Yellow",64.2,0.8,"0.2 to 1.3",82,"Green"
"CICS-BASIL ",400024,"Charter/Contract Schools",8,2012,65.0,-1.1,"-2.1 to 0",13,"Red",65.0,0.2,"-0.4 to 0.8",62,"Yellow"
"CICS-BUCKTOWN",400025,"Charter/Contract Schools",4,2012,45.8,0.0,"-0.8 to 0.8",46,"Yellow",45.8,0.0,"-0.6 to 0.7",49,"Yellow"
"CICS-BUCKTOWN",400025,"Charter/Contract Schools",5,2012,53.0,0.4,"-0.6 to 1.4",65,"Yellow",53.0,0.2,"-0.5 to 0.9",60,"Yellow"
